"","V1","cell_type"
"week_9.hOMTN",0.492177661440576,"week_9.hOMTN"
"week_9.hGaba",0.474746508948692,"week_9.hGaba"
"week_10.hDA1",0.471086036576585,"week_10.hDA1"
"week_9.hDA1",0.467702007766719,"week_9.hDA1"
"week_9.hNbML5",0.461803044071842,"week_9.hNbML5"
"week_6.hOMTN",0.45828999145188,"week_6.hOMTN"
"week_10.hRgl2b",0.454975423886468,"week_10.hRgl2b"
"week_9.hNbML1",0.451791258809308,"week_9.hNbML1"
"week_10.hGaba",0.445253311750391,"week_10.hGaba"
"week_9.hDA0",0.443526510402654,"week_9.hDA0"
"week_10.hNbM",0.434978858148988,"week_10.hNbM"
"week_8.hNbML1",0.434003366995868,"week_8.hNbML1"
"week_11.hOPC",0.427982479150288,"week_11.hOPC"
"week_8.hRN",0.427734730383869,"week_8.hRN"
"week_9.hNProg",0.427082178657628,"week_9.hNProg"
"week_9.hNbGaba",0.426888789587584,"week_9.hNbGaba"
"week_9.hProgBP",0.424590265248396,"week_9.hProgBP"
"week_9.hDA2",0.423852906140368,"week_9.hDA2"
"week_6.hNbML1",0.419625276311081,"week_6.hNbML1"
"week_9.hRgl2a",0.419204799567206,"week_9.hRgl2a"
"week_10.hDA2",0.418097514464058,"week_10.hDA2"
"week_10.hDA0",0.417804583244522,"week_10.hDA0"
"week_8.hNbM",0.414367118245375,"week_8.hNbM"
"week_11.hRgl2b",0.411993525189027,"week_11.hRgl2b"
"week_8.hOMTN",0.408047503640175,"week_8.hOMTN"
"week_9.hNbM",0.406531442397824,"week_9.hNbM"
"week_11.hRgl2a",0.405188761060309,"week_11.hRgl2a"
"week_10.hRgl1",0.404879689366037,"week_10.hRgl1"
"week_8.hNProg",0.40173667717225,"week_8.hNProg"
"week_8.hProgBP",0.401475264717462,"week_8.hProgBP"
"week_8.hProgFPL",0.396174703273892,"week_8.hProgFPL"
"week_7.hOMTN",0.393292425217206,"week_7.hOMTN"
"week_6.hNProg",0.393072407909695,"week_6.hNProg"
"week_10.hRgl2a",0.392995455065372,"week_10.hRgl2a"
"week_10.hPeric",0.389517606766531,"week_10.hPeric"
"week_6.hProgFPL",0.389312725697455,"week_6.hProgFPL"
"week_11.hRgl2c",0.384712908896275,"week_11.hRgl2c"
"week_8.hProgM",0.383294997049044,"week_8.hProgM"
"week_10.hRgl3",0.382406983076389,"week_10.hRgl3"
"week_6.hProgM",0.381661028994993,"week_6.hProgM"
"week_7.hRgl2a",0.379847065387067,"week_7.hRgl2a"
"week_6.hProgBP",0.377238644645704,"week_6.hProgBP"
"week_6.hProgFPM",0.370391271370976,"week_6.hProgFPM"
"week_6.hNbM",0.364839155009139,"week_6.hNbM"
"week_8.hProgFPM",0.361672811526075,"week_8.hProgFPM"
"week_7.hProgBP",0.354773724682591,"week_7.hProgBP"
"week_11.hPeric",0.350303480505588,"week_11.hPeric"
"week_11.hRgl3",0.348827348525522,"week_11.hRgl3"
"week_11.hEndo",0.339350998360705,"week_11.hEndo"
"week_10.hEndo",0.327801152777651,"week_10.hEndo"
